n,predite_f1,exact_f1,predite_f2,exact_f2,predite_f3,exact_f3,predite_f4,exact_f4
61900,11.000193864203974,11,26.00116320608775,26,50.00348967667669,50,85.00801346694658,85
62000,11.000193551505921,11,26.00116132985054,26,50.00348404788046,50,85.00800054111497,85
62100,11.000193239822352,11,26.001159459699966,26,50.00347843717811,50,85.00798765691593,85
62200,11.000192929133394,11,26.001157595544417,26,50.0034728445702,50,85.0079748141872,85
62300,11.000192619470829,11,26.00115573740871,26,50.00346726992423,50,85.00796201268217,85
62400,11.00019231076263,11,26.001153885192558,26,50.003461713091276,50,85.0079492521695,85
62500,11.000192003061116,11,26.001152038905495,26,50.00345617405859,50,85.00793653248196,85
62600,11.000191696366729,11,26.001150198549634,26,50.00345065277696,50,85.00792385349959,85
62700,11.000191390613685,11,26.001148364008195,26,50.00344514907683,50,85.00791121491338,85
62800,11.000191085836791,11,26.001146535351364,26,50.00343966283479,50,85.00789861653068,85
62900,11.000190782036071,11,26.00114471249562,26,50.00343419416244,50,85.00788605835643,85
63000,11.000190479214956,11,26.001142895433297,26,50.00342874279979,50,85.00787353999671,85
63100,11.000190177345281,11,26.001141084135142,26,50.003423308686784,50,85.0078610612511,85
63200,11.000189876430198,11,26.001139278592245,26,50.00341789183856,50,85.00784862207922,85
63300,11.000189576434137,11,26.001137478675645,26,50.00341249198069,50,85.00783622216628,85
63400,11.000189277419754,11,26.001135684480285,26,50.00340710920146,50,85.00782386131861,85
63500,11.000188979361901,11,26.00113389596726,26,50.00340174345424,50,85.00781153948233,85
63600,11.000188682213999,11,26.00113211305453,26,50.003396394506986,50,85.0077992563667,85
63700,11.000188386003346,11,26.00113033573684,26,50.00339106240049,50,85.00778701185601,85
63800,11.00018809072546,11,26.001128563987145,26,50.00338574698304,50,85.00777480569225,85
63900,11.000187796347365,11,26.001126797777733,26,50.00338044821404,50,85.00776263775428,85
64000,11.00018750293883,11,26.00112503712997,26,50.003375166044,50,85.0077505078706,85
64100,11.000187210416971,11,26.001123281943883,26,50.00336990030071,50,85.00773841576209,85
64200,11.000186918801655,11,26.001121532225294,26,50.00336465097334,50,85.00772636138328,85
64300,11.000186628094948,11,26.00111978792963,26,50.00335941799958,50,85.00771434450311,85
64400,11.000186338309572,11,26.001118049104488,26,50.00335420126529,50,85.00770236493229,85
64500,11.000186049390223,11,26.001116315589638,26,50.00334900064697,50,85.00769042243046,85
64600,11.000185761388751,11,26.00111458749591,26,50.00334381620548,50,85.00767851698927,85
64700,11.00018547426388,11,26.001112864747604,26,50.00333864772767,50,85.00766664837444,85
64800,11.000185188060316,11,26.001111147325634,26,50.00333349528544,50,85.00765481637578,85
64900,11.000184902700488,11,26.00110943516711,26,50.00332835867597,50,85.00764302078584,85
65000,11.000184618225333,11,26.001107728287675,26,50.00332323788868,50,85.00763126159124,85
65100,11.000184334610923,11,26.00110602663034,26,50.00331813275252,50,85.00761953837785,85
65200,11.000184051905489,11,26.001104330224187,26,50.00331304335468,50,85.00760785123269,85
65300,11.000183770052367,11,26.00110263901828,26,50.00330796955678,50,85.00759619988128,85
65400,11.000183489038035,11,26.001100952960932,26,50.00330291124731,50,85.0075845841461,85
65500,11.000183208892444,11,26.001099272057868,26,50.003297868400026,50,85.00757300388916,85
65600,11.000182929620173,11,26.00109759630713,26,50.0032928409508,50,85.00756145899413,85
65700,11.00018265117469,11,26.001095925604215,26,50.0032878287609,50,85.0075499491878,85
65800,11.00018237358947,11,26.001094260033472,26,50.00328283187936,50,85.00753847437498,85
65900,11.000182096828611,11,26.001092599467174,26,50.00327785005431,50,85.00752703432163,85
66000,11.000181820947523,11,26.001090944003543,26,50.00327288340473,50,85.00751562904946,85
66100,11.000181545862443,11,26.001089293491464,26,50.0032679317409,50,85.00750425824725,85
66200,11.000181271632353,11,26.00108764799164,26,50.003262995083794,50,85.00749292183784,85
66300,11.000180998198749,11,26.00108600744695,26,50.003258073276676,50,85.00748161950528,85
66400,11.000180725624343,11,26.001084371851125,26,50.00325316630064,50,85.00747035130848,85
66500,11.000180453842955,11,26.001082741130997,26,50.00324827406902,50,85.00745911699016,85
66600,11.00018018289515,11,26.00108111535305,26,50.0032433965452,50,85.0074479163885,85
66700,11.000179912762436,11,26.00107949446528,26,50.00323853369112,50,85.0074367494565,85
66800,11.000179643392764,11,26.00107787836307,26,50.0032336853264,50,85.00742561585116,85
66900,11.000179374871117,11,26.001076267141297,26,50.00322885149862,50,85.00741451556259,85
67000,11.000179107156464,11,26.001074660731398,26,50.00322403209087,50,85.00740344843692,85
67100,11.000178840244718,11,26.00107305910869,26,50.003219227029035,50,85.00739241427938,85
67200,11.000178574090663,11,26.001071462240496,26,50.00321443628963,50,85.00738141299209,85
67300,11.000178308730945,11,26.001069870108513,26,50.00320965980307,50,85.00737044439178,85
67400,11.000178044202357,11,26.00106828275381,26,50.0032048974982,50,85.00735950841121,85
67500,11.00017778039198,11,26.001066700007485,26,50.003200149182405,50,85.0073486046204,85
67600,11.000177517448826,11,26.00106512204451,26,50.003195415096116,50,85.0073377333423,85
67700,11.000177255222093,11,26.00106354867972,26,50.00319069487877,50,85.0073268939972,85
67800,11.000176993763258,11,26.001061979982435,26,50.003185988663354,50,85.00731608675974,85
67900,11.000176733097653,11,26.001060415893868,26,50.00318129624335,50,85.00730531125656,85
68000,11.00017647316766,11,26.00105885639979,26,50.00317661763636,50,85.0072945674945,85
68100,11.000176214043789,11,26.001057301500687,26,50.00317195278346,50,85.00728385528906,85
68200,11.000175955675756,11,26.00105575116637,26,50.003167301624266,50,85.00727317445212,85
68300,11.000175698047048,11,26.001054205358557,26,50.003162664119735,50,85.00726252503091,85
68400,11.000175441144794,11,26.00105266403078,26,50.00315804007006,50,85.00725190658065,85
68500,11.000175185051047,11,26.00105112731088,26,50.00315342960025,50,85.00724131919536,85
68600,11.000174929669312,11,26.001049594984355,26,50.00314883255319,50,85.00723076271966,85
68700,11.000174675058819,11,26.00104806716309,26,50.00314424891471,50,85.00722023693004,85
68800,11.00017442113015,11,26.001046543737758,26,50.00313967857026,50,85.00720974177882,85
68900,11.000174167973064,11,26.001045024758696,26,50.00313512150302,50,85.00719927712778,85
69000,11.000173915539902,11,26.001043510184278,26,50.00313057760318,50,85.00718884266702,85
69100,11.000173663867054,11,26.001041999987628,26,50.00312604689731,50,85.00717843848906,85
69200,11.000173412898878,11,26.001040494172134,26,50.003121529288265,50,85.00716806446968,85
69300,11.000173162683218,11,26.00103899271777,26,50.00311702474657,50,85.00715772031613,85
69400,11.000172913164125,11,26.00103749556556,26,50.00311253311062,50,85.00714740592824,85
69500,11.000172664362433,11,26.00103600268671,26,50.00310805443292,50,85.00713712128017,85
69600,11.00017241625268,11,26.001034514144667,26,50.00310358867262,50,85.00712686617365,85
69700,11.000172168882715,11,26.00103302985591,26,50.0030991356716,50,85.0071166405194,85
69800,11.000171922250239,11,26.001031549836842,26,50.00309469546355,50,85.00710644412065,85
69900,11.000171676283045,11,26.001030074026048,26,50.003090267910764,50,85.0070962769094,85
70000,11.000171431025034,11,26.00102860243916,26,50.00308585307578,50,85.00708613879165,85
70100,11.000171186469712,11,26.00102713506824,26,50.003081450779355,50,85.00707602953462,85
70200,11.000170942594917,11,26.001025671873826,26,50.003077061120834,50,85.00706594916696,85
70300,11.00017069945245,11,26.001024212854936,26,50.0030726838324,50,85.00705589745401,85
70400,11.000170456965396,11,26.001022757924314,26,50.003068318995496,50,85.00704587419277,85
70500,11.000170215189412,11,26.001021307166084,26,50.00306396661286,50,85.00703587948223,85
70600,11.000169974066763,11,26.00101986051564,26,50.00305962650605,50,85.00702591303197,85
70700,11.000169733641384,11,26.001018417923397,26,50.00305529866742,50,85.00701597479109,85
70800,11.000169493925963,11,26.001016979496406,26,50.003050983151255,50,85.00700606473788,85
70900,11.000169254858436,11,26.00101554505078,26,50.00304667975153,50,85.00699618248242,85
71000,11.0001690164591,11,26.001014114677194,26,50.00304238844143,50,85.00698632814687,85
71100,11.000168778760164,11,26.001012688316557,26,50.00303810920105,50,85.00697650152448,85
71200,11.00016854169911,11,26.001011265940786,26,50.0030338420095,50,85.00696670250025,85
71300,11.000168305308017,11,26.001009847584676,26,50.003029586781594,50,85.00695693086156,85
71400,11.000168069587382,11,26.00100843318781,26,50.00302534349421,50,85.00694718674137,85
71500,11.000167834517814,11,26.00100702272884,26,50.003021112004184,50,85.00693746975158,85
71600,11.000167600091695,11,26.00100561622576,26,50.003016892365466,50,85.00692777999674,85
71700,11.000167366333152,11,26.001004213632715,26,50.00301268456774,50,85.00691811729354,85
71800,11.000167133234518,11,26.001002814998955,26,50.00300848840851,50,85.00690848142376,85
71900,11.000166900784052,11,26.001001420190157,26,50.00300430397872,50,85.00689887242568,85
72000,11.000166668977888,11,26.001000029310763,26,50.00300013116111,50,85.00688929007198,85
72100,11.000166437824102,11,26.00099864231344,26,50.00299596997304,50,85.00687973444037,85
72200,11.000166207294702,11,26.00099725909423,26,50.00299182021478,50,85.0068702050983,85
72300,11.00016597742571,11,26.000995879740962,26,50.00298768200574,50,85.00686070221886,85
