N,p_3,p_5,p_10,p_15,p_20,p_25,p_30
77010,0.2500064927897566,0.16667315948452724,0.09091558379721107,0.06250649295837976,0.047625540647687016,0.03846803156043748,0.032264557685287666
77020,0.25000649194673974,0.16667315864150298,0.09091558295416861,0.06250649211531911,0.04762553980460809,0.038468030717340305,0.032264556842172255
77030,0.25000649110394174,0.16667315779869768,0.09091558211134507,0.0625064912724773,0.047625538961748065,0.03846802987446204,0.03226455599927575
77040,0.2500064902613625,0.16667315695611126,0.09091558126874036,0.06250649042985433,0.04762553811910685,0.03846802903180261,0.032264555156598096
77050,0.250006489419002,0.1666731561137434,0.09091558042635431,0.06250648958745009,0.04762553727668439,0.03846802818936193,0.032264554314139195
77060,0.25000648857686014,0.1666731552715942,0.09091557958418693,0.06250648874526452,0.04762553643448059,0.038468027347139895,0.03226455347189894
77070,0.25000648773493683,0.1666731544296636,0.09091557874223812,0.06250648790329746,0.047625535592495355,0.038468026505136456,0.032264552629877284
77080,0.25000648689323196,0.16667315358795143,0.09091557790050774,0.06250648706154889,0.0476255347507286,0.03846802566335149,0.03226455178807413
77090,0.2500064860517454,0.16667315274645764,0.09091557705899578,0.06250648622001873,0.04762553390918022,0.038468024821784935,0.032264550946489376
77100,0.2500064852104772,0.16667315190518217,0.09091557621770208,0.06250648537870687,0.047625533067850175,0.0384680239804367,0.03226455010512295
77110,0.2500064843694272,0.1666731510641249,0.09091557537662663,0.06250648453761323,0.04762553222673836,0.0384680231393067,0.03226454926397476
77120,0.2500064835285953,0.16667315022328574,0.0909155745357693,0.06250648369673771,0.047625531385844674,0.03846802229839485,0.03226454842304475
77130,0.2500064826879815,0.16667314938266461,0.09091557369513001,0.06250648285608026,0.04762553054516904,0.03846802145770106,0.03226454758233279
77140,0.25000648184758556,0.16667314854226148,0.09091557285470867,0.06250648201564077,0.04762552970471139,0.03846802061722525,0.03226454674183882
77150,0.2500064810074076,0.16667314770207614,0.09091557201450524,0.06250648117541917,0.04762552886447165,0.038468019776967344,0.03226454590156277
77160,0.2500064801674473,0.1666731468621086,0.09091557117451955,0.06250648033541537,0.04762552802444969,0.03846801893692724,0.03226454506150452
77170,0.2500064793277047,0.16667314602235875,0.09091557033475159,0.06250647949562925,0.047625527184645446,0.03846801809710487,0.032264544221664006
77180,0.25000647848817975,0.16667314518282658,0.09091556949520124,0.06250647865606078,0.047625526345058844,0.03846801725750013,0.03226454338204114
77190,0.2500064776488723,0.16667314434351188,0.09091556865586845,0.06250647781670986,0.047625525505689784,0.03846801641811296,0.03226454254263585
77200,0.2500064768097823,0.16667314350441467,0.09091556781675311,0.0625064769775764,0.0476255246665382,0.03846801557894326,0.03226454170344803
77210,0.25000647597090964,0.16667314266553476,0.09091556697785513,0.0625064761386603,0.047625523827603995,0.038468014739990945,0.03226454086447761
77220,0.2500064751322543,0.16667314182687215,0.09091556613917441,0.06250647529996149,0.0476255229888871,0.038468013901255926,0.03226454002572448
77230,0.2500064742938161,0.16667314098842678,0.09091556530071089,0.0625064744614799,0.0476255221503874,0.038468013062738136,0.0322645391871886
77240,0.25000647345559507,0.16667314015019846,0.09091556446246447,0.06250647362321539,0.04762552131210483,0.03846801222443748,0.03226453834886985
77250,0.250006472617591,0.1666731393121872,0.09091556362443512,0.06250647278516797,0.047625520474039305,0.038468011386353876,0.032264537510768174
77260,0.2500064717798039,0.1666731384743928,0.09091556278662274,0.06250647194733747,0.04762551963619074,0.03846801054848723,0.032264536672883454
77270,0.25000647094223366,0.16667313763681532,0.09091556194902718,0.06250647110972384,0.047625518798559044,0.03846800971083747,0.03226453583521562
77280,0.25000647010488014,0.16667313679945464,0.09091556111164838,0.062506470272327,0.047625517961144136,0.0384680088734045,0.03226453499776461
77290,0.25000646926774334,0.16667313596231054,0.09091556027448627,0.06250646943514683,0.047625517123945936,0.038468008036188266,0.03226453416053028
77300,0.25000646843082314,0.16667313512538315,0.09091555943754079,0.06250646859818335,0.04762551628696437,0.03846800719918864,0.03226453332351264
77310,0.25000646759411943,0.1666731342886722,0.09091555860081185,0.06250646776143633,0.047625515450199316,0.03846800636240556,0.03226453248671152
77320,0.2500064667576321,0.16667313345217769,0.09091555776429931,0.06250646692490576,0.047625514613650756,0.038468005525838955,0.03226453165012687
77330,0.2500064659213611,0.16667313261589958,0.09091555692800318,0.06250646608859159,0.04762551377731854,0.0384680046894887,0.03226453081375861
77340,0.25000646508530655,0.16667313177983775,0.09091555609192326,0.06250646525249368,0.0476255129412026,0.03846800385335476,0.03226452997760665
77350,0.25000646424946815,0.16667313094399203,0.09091555525605959,0.06250646441661196,0.0476255121053029,0.03846800301743704,0.032264529141670904
77360,0.25000646341384564,0.16667313010836243,0.09091555442041199,0.06250646358094636,0.04762551126961928,0.038468002181735426,0.03226452830595129
77370,0.2500064625784392,0.16667312927294886,0.0909155535849804,0.06250646274549679,0.047625510434151724,0.038468001346249864,0.03226452747044773
77380,0.2500064617432488,0.1666731284377512,0.09091555274976476,0.06250646191026317,0.0476255095989001,0.038468000510980246,0.03226452663516013
77390,0.2500064609082742,0.16667312760276948,0.09091555191476498,0.0625064610752454,0.04762550876386435,0.03846799967592651,0.03226452580008841
77400,0.2500064600735154,0.16667312676800333,0.09091555107998098,0.0625064602404434,0.04762550792904438,0.03846799884108857,0.0322645249652325
77410,0.2500064592389722,0.16667312593345301,0.09091555024541265,0.06250645940585713,0.04762550709444011,0.03846799800646633,0.03226452413059229
77420,0.2500064584046446,0.16667312509911822,0.09091554941105992,0.06250645857148643,0.04762550626005147,0.03846799717205972,0.03226452329616771
77430,0.2500064575705325,0.16667312426499903,0.09091554857692269,0.06250645773733125,0.04762550542587835,0.038467996337868654,0.0322645224619587
77440,0.2500064567366359,0.1666731234310952,0.09091554774300091,0.06250645690339153,0.04762550459192067,0.03846799550389303,0.03226452162796512
77450,0.25000645590295467,0.16667312259740674,0.09091554690929451,0.06250645606966719,0.04762550375817836,0.03846799467013278,0.03226452079418692
77460,0.2500064550694886,0.16667312176393345,0.09091554607580338,0.06250645523615808,0.047625502924651356,0.03846799383658783,0.032264519960624044
77470,0.25000645423623763,0.1666731209306754,0.09091554524252743,0.06250645440286419,0.047625502091339526,0.03846799300325808,0.03226451912727637
77480,0.25000645340320193,0.16667312009763252,0.09091554440946652,0.06250645356978542,0.047625501258242824,0.03846799217014347,0.032264518294143826
77490,0.25000645257038123,0.1666731192648046,0.09091554357662067,0.06250645273692167,0.04762550042536115,0.03846799133724388,0.03226451746122632
77500,0.25000645173777536,0.16667311843219154,0.09091554274398977,0.06250645190427283,0.04762549959269443,0.03846799050455923,0.032264516628523775
77510,0.25000645090538426,0.16667311759979336,0.09091554191157371,0.06250645107183887,0.047625498760242566,0.03846798967208949,0.032264515796036126
77520,0.25000645007320804,0.16667311676761,0.09091554107937243,0.06250645023961968,0.0476254979280055,0.03846798883983452,0.03226451496376326
77530,0.2500064492412465,0.16667311593564127,0.09091554024738581,0.06250644940761521,0.04762549709598313,0.03846798800779426,0.03226451413170512
77540,0.2500064484094996,0.1666731151038872,0.09091553941561382,0.06250644857582531,0.047625496264175365,0.03846798717596861,0.0322645132998616
77550,0.25000644757796703,0.16667311427234754,0.09091553858405632,0.06250644774424997,0.04762549543258213,0.03846798634435751,0.03226451246823262
77560,0.25000644674664907,0.16667311344102242,0.09091553775271329,0.06250644691288906,0.04762549460120335,0.038467985512960885,0.03226451163681813
77570,0.2500064459155454,0.16667311260991155,0.09091553692158463,0.06250644608174251,0.047625493770038954,0.038467984681778616,0.032264510805618006
77580,0.25000644508465597,0.16667311177901498,0.09091553609067018,0.06250644525081024,0.04762549293908883,0.038467983850810634,0.03226450997463218
77590,0.25000644425398066,0.1666731109483326,0.09091553525996993,0.06250644442009216,0.0476254921083529,0.038467983020056884,0.032264509143860566
77600,0.2500064434235195,0.16667311011786434,0.09091553442948384,0.0625064435895882,0.047625491277831104,0.03846798218951724,0.0322645083133031
77610,0.25000644259327237,0.16667310928761006,0.09091553359921171,0.06250644275929827,0.04762549044752335,0.03846798135919164,0.03226450748295968
77620,0.25000644176323916,0.1666731084575697,0.09091553276915354,0.06250644192922228,0.047625489617429524,0.038467980529080015,0.03226450665283021
77630,0.25000644093341984,0.16667310762774315,0.09091553193930926,0.06250644109936017,0.0476254887875496,0.038467979699182246,0.03226450582291464
77640,0.2500064401038142,0.1666731067981305,0.09091553110967872,0.0625064402697118,0.04762548795788344,0.038467978869498286,0.03226450499321286
77650,0.2500064392744223,0.16667310596873147,0.09091553028026189,0.06250643944027717,0.047625487128430996,0.038467978040028036,0.03226450416372482
77660,0.25000643844524395,0.166673105139546,0.09091552945105866,0.06250643861105615,0.04762548629919218,0.03846797721077142,0.032264503334450405
77670,0.2500064376162792,0.16667310431057414,0.09091552862206895,0.06250643778204865,0.04762548547016689,0.03846797638172836,0.032264502505389536
77680,0.2500064367875278,0.1666731034818156,0.09091552779329269,0.0625064369532546,0.04762548464135507,0.03846797555289874,0.03226450167654215
77690,0.2500064359589898,0.1666731026532705,0.09091552696472976,0.06250643612467395,0.04762548381275663,0.03846797472428253,0.032264500847908155
77700,0.250006435130665,0.1666731018249386,0.0909155261363802,0.06250643529630656,0.04762548298437146,0.038467973895879595,0.032264500019487455
77710,0.25000643430255354,0.16667310099681998,0.09091552530824377,0.06250643446815238,0.04762548215619951,0.03846797306768989,0.03226449919127999
77720,0.25000643347465507,0.16667310016891443,0.09091552448032048,0.06250643364021131,0.04762548132824071,0.03846797223971331,0.03226449836328566
77730,0.25000643264696965,0.16667309934122196,0.09091552365261016,0.06250643281248329,0.047625480500494935,0.03846797141194981,0.032264497535504394
77740,0.25000643181949717,0.16667309851374235,0.09091552282511284,0.06250643198496822,0.04762547967296213,0.038467970584399255,0.03226449670793611
77750,0.2500064309922375,0.1666730976864756,0.09091552199782842,0.06250643115766606,0.0476254788456422,0.038467969757061606,0.032264495880580724
77760,0.25000643016519064,0.16667309685942167,0.09091552117075674,0.06250643033057665,0.04762547801853508,0.03846796892993675,0.03226449505343814
77770,0.2500064293383565,0.1666730960325804,0.09091552034389776,0.06250642950369997,0.047625477191640675,0.038467968103024615,0.032264494226508296
77780,0.25000642851173493,0.1666730952059518,0.09091551951725142,0.06250642867703592,0.04762547636495893,0.03846796727632513,0.0322644933997911
77790,0.25000642768532594,0.16667309437953565,0.09091551869081761,0.0625064278505844,0.0476254755384897,0.038467966449838215,0.03226449257328648
77800,0.25000642685912944,0.166673093553332,0.09091551786459631,0.06250642702434535,0.047625474712232954,0.03846796562356378,0.03226449174699433
77810,0.2500064260331452,0.1666730927273408,0.09091551703858733,0.06250642619831871,0.0476254738861886,0.038467964797501725,0.03226449092091458
77820,0.25000642520737326,0.16667309190156182,0.09091551621279063,0.06250642537250435,0.04762547306035656,0.038467963971652,0.032264490095047164
77830,0.2500064243818136,0.16667309107599507,0.0909155153872062,0.06250642454690221,0.04762547223473674,0.038467963146014514,0.03226448926939198
77840,0.250006423556466,0.16667309025064037,0.09091551456183383,0.06250642372151219,0.047625471409329066,0.038467962320589154,0.03226448844394896
77850,0.2500064227313305,0.16667308942549777,0.09091551373667357,0.06250642289633426,0.047625470584133446,0.03846796149537587,0.03226448761871802
77860,0.2500064219064069,0.16667308860056712,0.09091551291172527,0.06250642207136828,0.04762546975914982,0.03846796067037458,0.032264486793699074
77870,0.2500064210816952,0.16667308777584833,0.09091551208698882,0.06250642124661418,0.047625468934378086,0.0384679598455852,0.03226448596889203
77880,0.25000642025719527,0.1666730869513414,0.09091551126246424,0.06250642042207194,0.047625468109818166,0.03846795902100763,0.03226448514429683
77890,0.2500064194329071,0.16667308612704607,0.09091551043815131,0.06250641959774139,0.047625467285469986,0.038467958196641824,0.03226448431991338
77900,0.25000641860883044,0.16667308530296246,0.09091550961405008,0.06250641877362251,0.04762546646133347,0.03846795737248766,0.03226448349574158
77910,0.2500064177849654,0.1666730844790904,0.09091550879016035,0.06250641794971518,0.04762546563740851,0.03846795654854509,0.03226448267178138
77920,0.2500064169613119,0.1666730836554298,0.09091550796648214,0.06250641712601933,0.047625464813695055,0.038467955724814,0.03226448184803268
77930,0.2500064161378698,0.1666730828319806,0.09091550714301527,0.0625064163025349,0.047625463990193004,0.038467954901294336,0.03226448102449541
77940,0.25000641531463885,0.16667308200874267,0.0909155063197598,0.06250641547926176,0.047625463166902283,0.03846795407798602,0.032264480201169475
77950,0.2500064144916192,0.166673081185716,0.09091550549671552,0.0625064146561999,0.04762546234382281,0.038467953254888936,0.03226447937805481
77960,0.2500064136688107,0.16667308036290043,0.0909155046738824,0.06250641383334919,0.0476254615209545,0.03846795243200305,0.03226447855515131
77970,0.2500064128462132,0.16667307954029603,0.09091550385126032,0.06250641301070957,0.047625460698297276,0.038467951609328234,0.03226447773245892
77980,0.25000641202382684,0.1666730787179025,0.09091550302884929,0.0625064121882809,0.04762545987585106,0.038467950786864435,0.03226447690997755
77990,0.2500064112016513,0.16667307789571995,0.09091550220664911,0.06250641136606318,0.04762545905361576,0.03846794996461158,0.032264476087707106
78000,0.2500064103796865,0.16667307707374818,0.09091550138465979,0.0625064105440563,0.04762545823159131,0.03846794914256956,0.032264475265647526
78010,0.2500064095579326,0.16667307625198713,0.09091550056288121,0.06250640972226014,0.04762545740977762,0.0384679483207383,0.03226447444379872
78020,0.2500064087363892,0.16667307543043677,0.0909154997413133,0.06250640890067467,0.0476254565881746,0.03846794749911772,0.032264473622160596
78030,0.2500064079150564,0.16667307460909694,0.09091549891995596,0.06250640807929982,0.047625455766782177,0.03846794667770777,0.03226447280073309
78040,0.2500064070939341,0.1666730737879677,0.09091549809880915,0.06250640725813542,0.047625454945600276,0.03846794585650834,0.03226447197951611
78050,0.2500064062730223,0.1666730729670488,0.09091549727787272,0.06250640643718151,0.047625454124628805,0.03846794503551933,0.03226447115850958
78060,0.2500064054523207,0.16667307214634033,0.09091549645714667,0.06250640561643793,0.04762545330386769,0.038467944214740694,0.03226447033771343
78070,0.2500064046318295,0.16667307132584203,0.09091549563663089,0.06250640479590461,0.04762545248331687,0.038467943394172345,0.03226446951712757
78080,0.2500064038115484,0.16667307050555388,0.09091549481632526,0.06250640397558148,0.04762545166297623,0.038467942573814196,0.0322644686967519
78090,0.25000640299147736,0.16667306968547588,0.09091549399622975,0.06250640315546846,0.04762545084284571,0.03846794175366616,0.032264467876586364
78100,0.2500064021716163,0.16667306886560784,0.09091549317634423,0.06250640233556545,0.0476254500229252,0.03846794093372816,0.03226446705663088
78110,0.25000640135196533,0.16667306804594978,0.09091549235666865,0.06250640151587239,0.047625449203214654,0.038467940114000135,0.032264466236885336
78120,0.25000640053252404,0.16667306722650158,0.09091549153720296,0.0625064006963892,0.04762544838371399,0.03846793929448198,0.032264465417349696
78130,0.2500063997132926,0.1666730664072631,0.09091549071794704,0.0625063998771158,0.0476254475644231,0.03846793847517362,0.032264464598023866
78140,0.2500063988942708,0.16667306558823436,0.09091548989890079,0.06250639905805211,0.04762544674534192,0.03846793765607497,0.03226446377890775
78150,0.25000639807545866,0.16667306476941518,0.09091548908006421,0.06250639823919804,0.04762544592647038,0.03846793683718596,0.03226446296000128
78160,0.250006397256856,0.16667306395080556,0.09091548826143712,0.06250639742055349,0.04762544510780839,0.03846793601850652,0.03226446214130437
78170,0.25000639643846284,0.16667306313240543,0.09091548744301949,0.06250639660211842,0.04762544428935587,0.038467935200036545,0.032264461322816955
78180,0.25000639562027893,0.16667306231421455,0.09091548662481123,0.06250639578389271,0.04762544347111273,0.038467934381775946,0.032264460504538926
78190,0.2500063948023045,0.16667306149623312,0.09091548580681229,0.06250639496587633,0.047625442653078894,0.038467933563724695,0.03226445968647022
78200,0.25000639398453905,0.16667306067846072,0.09091548498902254,0.06250639414806913,0.04762544183525429,0.038467932745882664,0.032264458868610756
78210,0.2500063931669828,0.1666730598608976,0.0909154841714419,0.0625063933304711,0.04762544101763883,0.03846793192824978,0.03226445805096044
78220,0.2500063923496357,0.16667305904354343,0.09091548335407036,0.06250639251308214,0.04762544020023245,0.038467931110825984,0.03226445723351923
78230,0.2500063915324975,0.16667305822639827,0.09091548253690779,0.06250639169590215,0.04762543938303504,0.03846793029361116,0.03226445641628701
78240,0.2500063907155682,0.16667305740946195,0.09091548171995412,0.06250639087893106,0.04762543856604655,0.03846792947660527,0.03226445559926371
78250,0.2500063898988476,0.1666730565927345,0.09091548090320921,0.06250639006216878,0.04762543774926688,0.0384679286598082,0.032264454782449235
78260,0.2500063890823358,0.16667305577621577,0.09091548008667306,0.06250638924561523,0.047625436932695955,0.03846792784321988,0.03226445396584353
78270,0.25000638826603266,0.16667305495990564,0.09091547927034557,0.06250638842927038,0.0476254361163337,0.038467927026840244,0.03226445314944652
78280,0.2500063874499381,0.16667305414380407,0.09091547845422666,0.0625063876131341,0.04762543530018003,0.03846792621066919,0.032264452333258094
78290,0.250006386634052,0.16667305332791105,0.09091547763831626,0.0625063867972063,0.047625434484234876,0.03846792539470666,0.03226445151727819
78300,0.2500063858183743,0.16667305251222642,0.09091547682261422,0.06250638598148692,0.04762543366849812,0.03846792457895257,0.032264450701506735
78310,0.2500063850029049,0.16667305169675006,0.09091547600712055,0.0625063851659759,0.04762543285296974,0.038467923763406804,0.032264449885943625
78320,0.2500063841876438,0.16667305088148202,0.09091547519183513,0.0625063843506731,0.04762543203764962,0.03846792294806933,0.03226444907058879
78330,0.2500063833725908,0.16667305006642213,0.09091547437675787,0.06250638353557851,0.04762543122253768,0.03846792213294007,0.032264448255442175
78340,0.25000638255774593,0.16667304925157028,0.09091547356188873,0.06250638272069202,0.047625430407633854,0.0384679213180189,0.03226444744050368
78350,0.250006381743109,0.16667304843692646,0.0909154727472276,0.06250638190601357,0.04762542959293804,0.038467920503305775,0.032264446625773206
78360,0.25000638092868005,0.16667304762249066,0.09091547193277438,0.06250638109154301,0.047625428778450205,0.038467919688800596,0.03226444581125071
78370,0.250006380114459,0.1666730468082625,0.09091547111852906,0.06250638027728035,0.047625427964170214,0.03846791887450331,0.0322644449969361
78380,0.2500063793004456,0.16667304599424226,0.09091547030449146,0.06250637946322549,0.047625427150098015,0.038467918060413796,0.03226444418282929
78390,0.25000637848664,0.16667304518042975,0.09091546949066158,0.0625063786493783,0.04762542633623353,0.038467917246532,0.03226444336893019
78400,0.2500063776730419,0.16667304436682479,0.09091546867703934,0.06250637783573874,0.047625425522576675,0.03846791643285784,0.03226444255523874
78410,0.25000637685965144,0.16667304355342732,0.09091546786362459,0.06250637702230673,0.047625424709127374,0.03846791561939125,0.03226444174175485
78420,0.25000637604646836,0.16667304274023734,0.09091546705041731,0.06250637620908218,0.04762542389588553,0.03846791480613213,0.03226444092847845
78430,0.2500063752334927,0.1666730419272547,0.09091546623741743,0.062506375396065,0.047625423082851094,0.038467913993080416,0.03226444011540946
