Model,DPO4054
Firmware Version,2.15

Point Format,Y
Horizontal Units,S
Horizontal Scale,4e-07
Sample Interval,4e-10
Record Length,10000
Gating,47.4900% to 52.500%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH1
1.344e-07,-0.426531
1.348e-07,-0.427125
1.352e-07,-0.427031
1.356e-07,-0.427031
1.360e-07,-0.426719
1.364e-07,-0.426687
1.368e-07,-0.426969
1.372e-07,-0.426984
1.376e-07,-0.426859
1.380e-07,-0.427891
1.384e-07,-0.4285
1.388e-07,-0.430047
1.392e-07,-0.430781
1.396e-07,-0.431125
1.400e-07,-0.431063
1.404e-07,-0.431734
1.408e-07,-0.432063
1.412e-07,-0.432203
1.416e-07,-0.4325
1.420e-07,-0.433141
1.424e-07,-0.433578
1.428e-07,-0.434063
1.432e-07,-0.434422
1.436e-07,-0.434172
1.440e-07,-0.434156
1.444e-07,-0.433938
1.448e-07,-0.433438
1.452e-07,-0.432953
1.456e-07,-0.433203
1.460e-07,-0.434047
1.464e-07,-0.435297
1.468e-07,-0.435266
1.472e-07,-0.435047
1.476e-07,-0.434922
1.480e-07,-0.434578
1.484e-07,-0.434219
1.488e-07,-0.43425
1.492e-07,-0.434609
1.496e-07,-0.434812
1.500e-07,-0.434766
1.504e-07,-0.433672
1.508e-07,-0.433141
1.512e-07,-0.431938
1.516e-07,-0.43225
1.520e-07,-0.432297
1.524e-07,-0.432594
1.528e-07,-0.432984
1.532e-07,-0.432797
1.536e-07,-0.432766
1.540e-07,-0.432312
1.544e-07,-0.431812
1.548e-07,-0.432703
1.552e-07,-0.432563
1.556e-07,-0.432844
1.560e-07,-0.433594
1.564e-07,-0.433406
1.568e-07,-0.433016
1.572e-07,-0.432984
1.576e-07,-0.432844
1.580e-07,-0.433156
1.584e-07,-0.432719
1.588e-07,-0.432781
1.592e-07,-0.432016
1.596e-07,-0.432547
1.600e-07,-0.432344
